file,total_cells,mel_count,no_mel_count,c80_filled,c80_nan,mel_AND_c80_filled,mel_AND_c80_nan,no_mel_AND_c80_filled,no_mel_AND_c80_nan
Konum1_C80_1000Hz.npy,264,60,204,60,204,60,0,0,204
Konum1_C80_125Hz.npy,264,60,204,60,204,60,0,0,204
Konum1_C80_2000Hz.npy,264,60,204,60,204,60,0,0,204
Konum1_C80_250Hz.npy,264,60,204,60,204,60,0,0,204
Konum1_C80_4000Hz.npy,264,60,204,60,204,60,0,0,204
Konum1_C80_500Hz.npy,264,60,204,60,204,60,0,0,204
Konum2_C80_1000Hz.npy,264,60,204,60,204,60,0,0,204
Konum2_C80_125Hz.npy,264,60,204,60,204,60,0,0,204
Konum2_C80_2000Hz.npy,264,60,204,60,204,60,0,0,204
Konum2_C80_250Hz.npy,264,60,204,60,204,60,0,0,204
Konum2_C80_4000Hz.npy,264,60,204,60,204,60,0,0,204
Konum2_C80_500Hz.npy,264,60,204,60,204,60,0,0,204
Konum3_C80_1000Hz.npy,264,60,204,60,204,60,0,0,204
Konum3_C80_125Hz.npy,264,60,204,60,204,60,0,0,204
Konum3_C80_2000Hz.npy,264,60,204,60,204,60,0,0,204
Konum3_C80_250Hz.npy,264,60,204,60,204,60,0,0,204
Konum3_C80_4000Hz.npy,264,60,204,60,204,60,0,0,204
Konum3_C80_500Hz.npy,264,60,204,60,204,60,0,0,204
TOTAL_SUM,4752,1080,3672,1080,3672,1080,0,0,3672
